product_id,product_name,product_url,seamless,fabric_softness,wool_present,texture_level,pressure_level,adaptive_or_sensory_claim,seamless_evidence,fabric_softness_evidence,wool_present_evidence,texture_level_evidence,pressure_level_evidence,adaptive_claim_evidence,confidence,review_notes
11,Fun and Function Sens-ational Hip Hugging Tee – Long Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – Navy – X-Small,https://sensoryfair.com/product/fun-and-function-sens-ational-hip-hugging-tee-long-sleeve-compression-shirt-for-boys-girls-sensory-compression-shirt-for-kids-teens-navy-x-small/,yes,medium,no,unknown,medium,yes,"This tagless tee is made from soft, breathable organic cotton","Soft and stretchy | made from soft, breathable organic cotton",100% Spandex,,"gentle compression around the shoulders, trunk and hips | Compression clothing for kids provides soothing proprioceptive input",A SENSATIONAL SENSORY SOLUTION | perfect for those with tactile sensitivities,0.9,
12,Fun and Function Sens-ational Hip Hugging Tee – Short Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – White – Small,https://sensoryfair.com/product/fun-and-function-sens-ational-hip-hugging-tee-short-sleeve-compression-shirt-for-boys-girls-sensory-compression-shirt-for-kids-teens-white-small/,yes,medium,no,unknown,medium,yes,tagless tee,soft and stretchy,100% Spandex,,"gentle compression around the shoulders, trunk and hips",sensory solution | soothing proprioceptive input | perfect for those with tactile sensitivities,1.0,
13,"Fun & Function – Hug Tank Top – Sensory Compression Shirt, Undershirt Hugger for Kids – Compression Clothes for Sensory Needs",https://sensoryfair.com/product/fun-function-hug-tank-top-sensory-compression-shirt-undershirt-hugger-for-kids-compression-clothes-for-sensory-needs/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,sensory compression | compression clothes for sensory needs,0.0,
14,Fun & Function – Sensory Compression Joggers – Gentle Youth Compression Sweatpants for Girls & Boys – Sensory Clothes,https://sensoryfair.com/product/fun-function-sensory-compression-joggers-gentle-youth-compression-sweatpants-for-girls-boys-sensory-clothes/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,sensory compression | designed for sensory comfort,0.0,
15,Gertex Adult Adaptive Sleepwear With U-Zip and Back-Zip | Clothing Designed for Special Needs and Disabilities,https://sensoryfair.com/product/gertex-adult-adaptive-sleepwear-with-u-zip-and-back-zip-clothing-designed-for-special-needs-and-disabilities/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,Clothing Designed for Special Needs and Disabilities,0.0,
16,"Kaycey Special Needs Adaptive Clothing For Children & Adults, SLEEVELESS Bodysuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-adults-sleeveless-bodysuit/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
17,"Kaycey Special Needs Adaptive Clothing For Children, Long Sleeve Short Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-long-sleeve-short-leg-zip-back-jumpsuit/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
18,"Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Long Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-short-sleeve-long-leg-zip-back-jumpsuit/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
19,"Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Short Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-short-sleeve-short-leg-zip-back-jumpsuit/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
20,"Kaycey Special Needs Adaptive Clothing For Children, SLEEVELESS Bodysuit Popper Snap Vest, 3 Pack",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-sleeveless-bodysuit-popper-snap-vest-3-pack/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,Special Kids Adaptive Clothing for kids and adults with special needs,0.0,
21,"Kaycey Special Needs Adaptive Clothing with TUBE ACCESS For Children, Short Sleeve Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-with-tube-access-for-children-short-sleeve-zip-back-jumpsuit/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing,0.0,
22,"Snugabye Kids Adaptive, Anti-Strip Back-Zip Lightweight Romper Made With 100% Organic Cotton | Designed for Special Needs",https://sensoryfair.com/product/kids-adaptive-anti-strip-back-zip-lightweight-romper-made-with-100-organic-cotton-designed-for-special-needs/,unknown,unknown,no,unknown,unknown,yes,,,100% Organic Cotton,,,Designed for Special Needs,0.0,
23,Sensory Basics Long Sleeve Compression Tee – Gentle & Calming Compression Shirt for Kids & Adults – Stretchy Sensory Shirt,https://sensoryfair.com/product/long-sleeve-compression-tee-gentle-calming-compression-shirt-for-kids-adults-stretchy-sensory-shirt/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
24,Men’s Open-Back Adaptive Active T-Shirt,https://sensoryfair.com/product/mens-open-back-adaptive-active-t-shirt/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No information provided to determine features.
25,Men’s Self Dressing Magnetic Buttons Adaptive Plaid Dress Shirt,https://sensoryfair.com/product/mens-self-dressing-magnetic-buttons-adaptive-plaid-dress-shirt/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing,0.0,
26,"OUTREE Sensory Sock for Kids, Small,3-5 Years,39”×27”,Good for Height:2’9” – 3’6”,Full Body Sock Provides Deep Pressure Input, Sensory Toys for Autistic Children with A Carrying Bag,Blue",https://sensoryfair.com/product/outree-sensory-sock-for-kids-small3-5-years39x27good-for-height29-36full-body-sock-provides-deep-pressure-input-sensory-toys-for-autistic-children-with-a-carrying-bagblue/,no,medium,no,unknown,high,yes,We use sturdy stitching at every seam in our body socks.,Our body sock for kids is made of polyester and Lycra. It is comfortable and breathable.,Our body sock for kids is made of polyester and Lycra.,,The deep pressure input is what you are seeking all the time.,OUTREE body sock is helping with the sensory seeking.,0.9,
27,"SANHO Dynamic Movement Sensory body Sock,Medium,Good for Height:41″-51″,For Autistic & Sensory Processing Disorders,Updated Version,Orange.",https://sensoryfair.com/product/sanho-dynamic-movement-sensory-body-sockmediumgood-for-height41-51for-autistic-sensory-processing-disordersupdated-versionorange/,unknown,unknown,no,unknown,medium,yes,,,"Do not waste your time to use cheaply made sensory sock, it is time to choose a high quality product for your kids.",,the high-quality with excellent all-side elastic effect,This unique dynamic movement sensory sock will help to improve self-calming,0.9,
28,"Sensory Body Sock, Calming Therapy Blanket, Sensory Stress Relief, Anxiety, Autism, ADHD, ADD, Tactile Items for Therapeutic , Kids Fidget (Pink, Large)",https://sensoryfair.com/product/sensory-body-sock-calming-therapy-blanket-sensory-stress-relief-anxiety-autism-adhd-add-tactile-items-for-therapeutic-kids-fidget-pink-large/,no,high,no,unknown,high,yes,Each seam is reinforced with sturdy stitching.,the deep pressure input that you crave is satisfied by our soft and silky sensory sack.,"crafted from high-quality, stretchable fabric (80% Nylon, 20% Spandex)",,providing them deep pressure stimulation,"Ideal for kids with ADHD, autism, or other spatial sensory challenges",0.9,
29,"UIMEYIM Sensory Compression Vest For Kids Autism Vest Deep Pressure Comfort for Hyperactivity, Mood Processing Disorders",https://sensoryfair.com/product/sensory-compression-vest-for-kids-autism-vest-deep-pressure-comfort-for-hyperactivity-mood-processing-disorders/,unknown,unknown,no,unknown,medium,yes,,,made from a breathable and flexible neoprene,,"compression vest | warm, supportive hug and compression feeling",sensory compression vest for kids | positive sensory benefits,0.9,
30,DuttiLea Sensory Compression Vest for Kids Deep Pressure Comfort,https://sensoryfair.com/product/sensory-compression-vest-for-kids-deep-pressure-comfort/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
31,TOPARCHERY Sensory Compression Vest Deep Pressure Vest Soft Breathable Form-Fitting,https://sensoryfair.com/product/sensory-compression-vest-sensory-processing-disorder-vest-deep-pressure-comfort-for-autism-hyperactivity-mood-processing-disorders-medium-17-x-30/,unknown,unknown,no,unknown,medium,yes,,,NO WEIGHT is USED,,the therapeutic pressure applied to the body is designed to help you stay more engaged and focused,compression vest for autism and sensory processing disorders,0.9,
32,"Sensory Sock,Small,3-5 Years, White Space Full Body Sock Provides Deep Pressure Input Sensory Toys for Autistic Children Perfect for Children with Sensory Processing Disorde",https://sensoryfair.com/product/sensory-sock-body-socksmall3-5-years-white-space-full-body-sock-provides-deep-pressure-input-sensory-toys-for-autistic-children-perfect-for-children-with-sensory-processing-disorde/,unknown,high,no,unknown,high,yes,,high-quality sensory sock made from premium fabric | comfortable and skin-friendly experience,made from premium fabric,,providing a compression sensation and deep pressure therapy,"ideal for children with ADHD, autism, or other spatial sensory challenges | sensory body socks can assist children in regaining a sense of balance and clarity when they feel overwhelmed | excellent for tactile stimulation, sensory integration",1.0,
33,Silvert’s Adaptive Clothing & Footwear Men’s Open Back Henley Nightgown,https://sensoryfair.com/product/silverts-adaptive-clothing-footwear-mens-open-back-henley-nightgown/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No information provided to determine any features.
34,Silvert’s Adaptive Clothing & Footwear Women’s Open Back Active Capri Pant,https://sensoryfair.com/product/silverts-adaptive-clothing-footwear-womens-open-back-active-capri-pant/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
35,Silvert’s Adaptive Clothing & Footwear Women’s Soft Stretch Pull-On Pant,https://sensoryfair.com/product/silverts-adaptive-clothing-footwear-womens-soft-stretch-pull-on-pant/,yes,high,no,unknown,unknown,yes,seamlessly blend style with the comfort reminiscent of a pair of pyjamas,a super soft brushed knit that feels decadent against sensitive skin,Fabric Content: 81% Polyester/ 16% Rayon/ 3% Spandex,,,designed for sensory comfort,1.0,
36,"Silverts Front Closure Bra – Comfortable Adaptive Front Clasp Bra for Elderly – Wide Straps, Underwire & Padding Free",https://sensoryfair.com/product/silverts-front-closure-bra-comfortable-adaptive-front-clasp-bra-for-elderly-wide-straps-underwire-padding-free/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,Comfortable Adaptive Front Clasp Bra for Elderly,0.0,
37,"Silverts Open-Back Hospital Gowns for Women – Comfortable, Dignified, Easy Dressing for Seniors & Patients – 100% Cotton",https://sensoryfair.com/product/silverts-open-back-hospital-gowns-for-women-comfortable-dignified-easy-dressing-for-seniors-patients-100-cotton/,unknown,unknown,no,unknown,unknown,unknown,,,100% Cotton,,,,0.0,No explicit sensory-related descriptions provided.
38,"Silverts Open-Back Hospital Gowns for Women – Comfortable, Dignified, Easy Dressing for Seniors & Patients – Embroidered",https://sensoryfair.com/product/silverts-open-back-hospital-gowns-for-women-comfortable-dignified-easy-dressing-for-seniors-patients-embroidered/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit sensory-related information provided.
39,"Silverts Open-Back Hospital Gowns for Women – Comfortable, Dignified, Easy Dressing for Seniors & Patients – Long Sleeve",https://sensoryfair.com/product/silverts-open-back-hospital-gowns-for-women-comfortable-dignified-easy-dressing-for-seniors-patients-long-sleeve/,unknown,high,no,unknown,unknown,yes,,"soft, durable fabrics that stand up to frequent washing while maintaining their shape and comfort",,,,adaptive clothing | designed as easy clothes for elderly,1.0,
40,"Silverts Open-Back Hospital Gowns for Women – Comfortable, Easy Dressing for Seniors & Patients – Lace Trim 2/3 Sleeve",https://sensoryfair.com/product/silverts-open-back-hospital-gowns-for-women-comfortable-easy-dressing-for-seniors-patients-lace-trim-2-3-sleeve/,unknown,unknown,no,unknown,unknown,unknown,,,,,,,0.0,No explicit sensory-relevant attributes were provided in the description.
41,"Silverts Open-Back Hospital Gowns for Women – Comfortable, Easy Dressing for Seniors & Patients – Milk Silk Lace 2/3 Sleeve",https://sensoryfair.com/product/silverts-open-back-hospital-gowns-for-women-comfortable-easy-dressing-for-seniors-patients-milk-silk-lace-2-3-sleeve/,unknown,unknown,no,unknown,unknown,unknown,,,,,,,0.0,No explicit sensory-related information provided.
42,Silverts Unisex Tear Away Post Surgery Pants – Breakaway Rip Off Side Snap Clothing – Recovery Adaptive Wear for Elderly,https://sensoryfair.com/product/silverts-unisex-tear-away-post-surgery-pants-breakaway-rip-off-side-snap-clothing-recovery-adaptive-wear-for-elderly/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
43,Silverts Women’s No Peek Hospital & Home Care Gown,https://sensoryfair.com/product/silverts-womens-no-peek-hospital-home-care-gown/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
44,Silverts Women’s Open Back Vneck Embellished Top – Adaptive Clothes for Elderly Seniors – Wheelchair Surgery Recovery Shirt,https://sensoryfair.com/product/silverts-womens-open-back-vneck-embellished-top-adaptive-clothes-for-elderly-seniors-wheelchair-surgery-recovery-shirt/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,Adaptive Clothes for Elderly Seniors,0.0,
45,"Special Kids Adaptive Clothing Dungarees, Scratch Sleeves Button Back Ankle Length Footless Dungarees, Soft Woven Cotton",https://sensoryfair.com/product/special-kids-adaptive-clothing-dungarees-scratch-sleeves-button-back-ankle-length-footless-dungarees-soft-woven-cotton/,unknown,unknown,no,unknown,unknown,yes,,,soft woven cotton,,,adaptive clothing,0.0,
46,"Special Kids Adaptive Clothing For Children & Adults With Special Needs, Short Sleeve Bodysuit",https://sensoryfair.com/product/special-kids-adaptive-clothing-for-children-adults-with-special-needs-short-sleeve-bodysuit/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing | designed for sensory comfort,0.0,
47,"Special Supplies Sensory Compression Vest Deep Pressure Comfort (Blue, Meduim)",https://sensoryfair.com/product/special-supplies-sensory-compression-vest-deep-pressure-comfort-blue-meduim/,unknown,unknown,no,unknown,medium,yes,,,"soft, breathable, and supportive",,compression vest for kids with sensory issues,"calming, therapeutic sensory vest",0.9,
48,THOMAS & FRIENDS 2 Pack Adaptive T-Shirts Sensory Friendly Toddler Sizes (2T – 5T),https://sensoryfair.com/product/thomas-friends-2-pack-adaptive-t-shirts-sensory-friendly-toddler-sizes-2t-5t/,yes,high,no,low,unknown,yes,flat seams,soft 100% cotton,100% cotton,smooth,,designed to be comfortable for kids with sensory processing disorder,1.0,
49,Women’s Easy Touch Adaptive Side Closure Pants,https://sensoryfair.com/product/womens-easy-touch-adaptive-side-closure-pants/,unknown,medium,no,unknown,unknown,yes,,Made of comfortable quality fleece.,Polyester-cotton-spandex fleece also known as sweat pant material.,,,These Adaptive Clothing Side Opening Fleece Pants for women with Easy Access have adaptive easy-on convenience!,0.9,
50,Women’s Open Back Adaptive Active Crew Neck Top for Seniors – 3/4 Long Sleeve Shirt,https://sensoryfair.com/product/womens-open-back-adaptive-active-crew-neck-top-for-seniors-3-4-long-sleeve-shirt/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided in the description.
51,Women’s Open-Back Adaptive Long Sleeve Embellished Top,https://sensoryfair.com/product/womens-open-back-adaptive-long-sleeve-embellished-top/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing,0.0,
52,Women’s Self Dressing Open-Back Adaptive Soft Knit Pant,https://sensoryfair.com/product/womens-self-dressing-open-back-adaptive-soft-knit-pant/,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,0.0,No explicit information provided.
