product_id,url_hash,source,scraped_at,product_name,product_url,short_description,full_description,category,text_for_labeling,seamless,fabric_softness,wool_present,texture_level,pressure_level,adaptive_or_sensory_claim,seamless_evidence,fabric_softness_evidence,wool_evidence,texture_evidence,pressure_evidence,adaptive_claim_evidence,labeler,label_status,review_notes
11,87e1ee43e4c3,sensoryfair.com,,Fun and Function Sens-ational Hip Hugging Tee – Long Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – Navy – X-Small,https://sensoryfair.com/product/fun-and-function-sens-ational-hip-hugging-tee-long-sleeve-compression-shirt-for-boys-girls-sensory-compression-shirt-for-kids-teens-navy-x-small/,"100% Spandex A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input","100% Spandex A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input SENSORY & STYLISH: This tagless tee is made from soft, breathable organic cotton that’s perfect for those with tactile sensitivities. Plus, the neutral colors make it easy to mix and match with your everyday wardrobe! FIND THE PERFECT FIT: Our therapy compression shirts are available in seven sizes for kids and teens ages 2+. Check out our size guide to find your best fit! ABOUT US: We started Fun and Function because we couldn’t find kid-friendly sensory tools that would fit our family’s needs. So we channeled our frustration into passion for creating the best sensory tools to help kids (and adults!) thrive",,"product_name: Fun and Function Sens-ational Hip Hugging Tee – Long Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – Navy – X-Small
short_description: 100% Spandex A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input
full_description: 100% Spandex A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input SENSORY & STYLISH: This tagless tee is made from soft, breathable organic cotton that’s perfect for those with tactile sensitivities. Plus, the neutral colors make it easy to mix and match with your everyday wardrobe! FIND THE PERFECT FIT: Our therapy compression shirts are available in seven sizes for kids and teens ages 2+. Check out our size guide to find your best fit! ABOUT US: We started Fun and Function because we couldn’t find kid-friendly sensory tools that would fit our family’s needs. So we channeled our frustration into passion for creating the best sensory tools to help kids (and adults!) thrive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
12,f8afe51a3957,sensoryfair.com,,Fun and Function Sens-ational Hip Hugging Tee – Short Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – White – Small,https://sensoryfair.com/product/fun-and-function-sens-ational-hip-hugging-tee-short-sleeve-compression-shirt-for-boys-girls-sensory-compression-shirt-for-kids-teens-white-small/,"100% Spandex Made in the USA or Imported A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus","100% Spandex Made in the USA or Imported A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input SENSORY & STYLISH: This tagless tee is made from soft, breathable organic cotton that’s perfect for those with tactile sensitivities. Plus, the neutral colors make it easy to mix and match with your everyday wardrobe! FIND THE PERFECT FIT: Our therapy compression shirts are available in seven sizes for kids and teens ages 2+. Check out our size guide to find your best fit! ABOUT US: We started Fun and Function because we couldn’t find kid-friendly sensory tools that would fit our family’s needs. So we channeled our frustration into passion for creating the best sensory tools to help kids (and adults!) thrive",,"product_name: Fun and Function Sens-ational Hip Hugging Tee – Short Sleeve Compression Shirt for Boys & Girls – Sensory Compression Shirt for Kids & Teens – White – Small
short_description: 100% Spandex Made in the USA or Imported A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus
full_description: 100% Spandex Made in the USA or Imported A SENSATIONAL SENSORY SOLUTION: Our youth compression shirt provides gentle compression around the shoulders, trunk and hips to help kids and teens feel grounded and secure throughout the day. Wear in school or at home to promote calm and focus SNUG AS A HUG: Compression clothing for kids provides soothing proprioceptive input that can help you feel calm, focused & centered. Soft and stretchy, these shirts can be layered with your favorite outfit or worn alone for all-day sensory input SENSORY & STYLISH: This tagless tee is made from soft, breathable organic cotton that’s perfect for those with tactile sensitivities. Plus, the neutral colors make it easy to mix and match with your everyday wardrobe! FIND THE PERFECT FIT: Our therapy compression shirts are available in seven sizes for kids and teens ages 2+. Check out our size guide to find your best fit! ABOUT US: We started Fun and Function because we couldn’t find kid-friendly sensory tools that would fit our family’s needs. So we channeled our frustration into passion for creating the best sensory tools to help kids (and adults!) thrive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
13,f6dcfb84d404,sensoryfair.com,,"Fun & Function – Hug Tank Top – Sensory Compression Shirt, Undershirt Hugger for Kids – Compression Clothes for Sensory Needs",https://sensoryfair.com/product/fun-function-hug-tank-top-sensory-compression-shirt-undershirt-hugger-for-kids-compression-clothes-for-sensory-needs/,,,,"product_name: Fun & Function – Hug Tank Top – Sensory Compression Shirt, Undershirt Hugger for Kids – Compression Clothes for Sensory Needs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
14,40546469e618,sensoryfair.com,,Fun & Function – Sensory Compression Joggers – Gentle Youth Compression Sweatpants for Girls & Boys – Sensory Clothes,https://sensoryfair.com/product/fun-function-sensory-compression-joggers-gentle-youth-compression-sweatpants-for-girls-boys-sensory-clothes/,,,,product_name: Fun & Function – Sensory Compression Joggers – Gentle Youth Compression Sweatpants for Girls & Boys – Sensory Clothes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
15,bf95981fc16d,sensoryfair.com,,Gertex Adult Adaptive Sleepwear With U-Zip and Back-Zip | Clothing Designed for Special Needs and Disabilities,https://sensoryfair.com/product/gertex-adult-adaptive-sleepwear-with-u-zip-and-back-zip-clothing-designed-for-special-needs-and-disabilities/,,,,product_name: Gertex Adult Adaptive Sleepwear With U-Zip and Back-Zip | Clothing Designed for Special Needs and Disabilities,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
16,9e645613acd8,sensoryfair.com,,"Kaycey Special Needs Adaptive Clothing For Children & Adults, SLEEVELESS Bodysuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-adults-sleeveless-bodysuit/,,,,"product_name: Kaycey Special Needs Adaptive Clothing For Children & Adults, SLEEVELESS Bodysuit",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
17,5653b3faedeb,sensoryfair.com,,"Kaycey Special Needs Adaptive Clothing For Children, Long Sleeve Short Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-long-sleeve-short-leg-zip-back-jumpsuit/,,,,"product_name: Kaycey Special Needs Adaptive Clothing For Children, Long Sleeve Short Leg Zip Back Jumpsuit",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
18,47cf73ce3020,sensoryfair.com,,"Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Long Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-short-sleeve-long-leg-zip-back-jumpsuit/,,,,"product_name: Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Long Leg Zip Back Jumpsuit",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
19,f7c8e44eeef8,sensoryfair.com,,"Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Short Leg Zip Back Jumpsuit",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-short-sleeve-short-leg-zip-back-jumpsuit/,,,,"product_name: Kaycey Special Needs Adaptive Clothing For Children, Short Sleeve Short Leg Zip Back Jumpsuit",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
20,4e02eccd6ee8,sensoryfair.com,,"Kaycey Special Needs Adaptive Clothing For Children, SLEEVELESS Bodysuit Popper Snap Vest, 3 Pack",https://sensoryfair.com/product/kaycey-special-needs-adaptive-clothing-for-children-sleeveless-bodysuit-popper-snap-vest-3-pack/,,Special Kids Adaptive Clothing for kids and adults with special needs,,"product_name: Kaycey Special Needs Adaptive Clothing For Children, SLEEVELESS Bodysuit Popper Snap Vest, 3 Pack
full_description: Special Kids Adaptive Clothing for kids and adults with special needs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
